"fips","month_year","case_rate_100k","temperature","precipitation","pm2p5","wind_speed","humidity","lag_temperature","lag_precipitation","lag_pm2p5","lag_humidity","lag_wind_speed"
12027,"01/2011",0,59.5838709677419,2.06,115.7,4.34193548387097,79.2645161290323,55.6387096774194,2.21,190.87,76.1935483870968,5.63225806451613
12029,"01/2011",0,50.258064516129,4.46,71.84,5.71935483870968,76.6354838709677,48.2387096774194,2.97,113.6,71.0612903225806,6.15806451612903
12031,"01/2011",0,50.0354838709677,4.99,95.52,5.13225806451613,74.8903225806452,48.9,2.94,125.9,68.6516129032258,6.4258064516129
12033,"01/2011",0,45.9935483870968,3.43,90.52,4.56451612903226,78.1741935483871,44.5677419354839,4.97,90.55,79.8,5.33225806451613
12035,"01/2011",0,52.9516129032258,2.92,86.6,4.50645161290323,76.741935483871,51.3064516129032,2.66,130.23,74.0258064516129,4.72903225806452
12037,"01/2011",0,49.9483870967742,4.27,232.76,9.67096774193548,78.5225806451613,48.5387096774194,4.89,332.95,75.0258064516129,8.99677419354839
12039,"01/2011",0,46.4741935483871,4.1,370.46,4.79354838709677,72.5258064516129,45.7967741935484,6.3,260.83,70.7290322580645,6.66774193548387
12041,"01/2011",0,49.3548387096774,4.21,94.87,5.28387096774194,78.2548387096774,47.8967741935484,2.79,183.6,70.3967741935484,6.93548387096774
12045,"01/2011",0,48.2903225806452,4.31,236.37,4.76129032258065,79.6741935483871,46.7161290322581,5.49,331.65,75.258064516129,5.64193548387097
12049,"01/2011",0,60.3322580645161,2.22,110.99,3.51612903225806,78.6451612903226,55.8129032258065,2.51,152.31,78,3.8
12053,"01/2011",0,54.5870967741935,3.28,109.07,5.13548387096774,77.4354838709677,50.5870967741935,2.13,132.91,68.1161290322581,5.3258064516129
12055,"01/2011",0,60.0709677419355,2.11,116.01,5.5,76.641935483871,55.0806451612903,3.03,165.83,74.8709677419355,6.03225806451613
12057,"01/2011",0,57.6548387096774,1.77,115.81,5.06774193548387,77.7290322580645,53.558064516129,2.15,140.32,73.8354838709677,6.04193548387097
12059,"01/2011",0,44.7774193548387,2.74,106.92,5.50645161290323,73.4516129032258,43.8838709677419,7.45,100.99,73.0258064516129,5.28064516129032
12061,"01/2011",0,59.3483870967742,2.39,106.52,6.55806451612903,76.0258064516129,55.241935483871,1.32,116.18,75.2870967741935,7.51935483870968
12063,"01/2011",0,46.1032258064516,3.7,244.29,5.72903225806452,73.6387096774194,45.3,5.64,163.01,70.9645161290323,6.32903225806452
12069,"01/2011",0,55.7483870967742,4.68,110.13,5.85483870967742,75.5096774193548,52.0354838709677,3.08,158.01,70.2161290322581,6.45483870967742
12071,"01/2011",0,60.858064516129,2.25,100.06,6.69354838709677,80.4645161290323,57.0032258064516,1.59,155.6,73.9709677419355,6.20967741935484
12073,"01/2011",0,47.1483870967742,4.06,200.16,3.96774193548387,75.3193548387097,46.9483870967742,6.24,231.07,68.3225806451613,6.07096774193548
12075,"01/2011",0,51.3322580645161,3.87,88.35,4.12903225806452,77.9645161290323,48.5774193548387,3.87,126.87,76.2612903225806,4.37096774193548
12081,"01/2011",0,58.1161290322581,2.01,112.68,5.04838709677419,78.1032258064516,54.3838709677419,3.26,139.99,73.0806451612903,5.40322580645161
